sample_id	source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	HLA-B	CD3D	2.5364013	0.0	5.55546	0.41839713279416235	1.798889974664465	0.5430746	0.9459917	0.04522657509085517	0.004191666136757478
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-B	CD3D	2.1572137	0.025	4.3424745	0.0665790669014997	1.1493871379275569	0.4244991	0.93934196	0.3489704868121538	0.01652009594608982
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DRA	CD4	1.6158493	0.0	0.7217194	0.5781603505103137	2.7831004800956936	0.97252256	0.8632612	0.002144968035420114	0.09862742865087816
raw_all__GSM5837209_AB6696.txt.gz	T_cell	B_cell	HLA-A	APLP2	1.2691865	0.0	0.675824	0.2686111163343078	1.1799787241406616	0.6129467	0.85933685	0.018524805157214275	0.13980438627545752
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	CD48	CD2	1.0354075	0.002	0.9113958	0.17960863794814436	0.8701692421069356	0.46185452	0.8764588	0.11642414799832762	0.13980438627545752
raw_all__GSM5837209_AB6696.txt.gz	T_cell	T_cell	VIM	CD44	1.032267	0.0	0.836425	0.23825785679409328	0.9673199516507447	0.50991434	0.87173593	0.05854753234872659	0.1872688269038578
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	IL16	CD4	0.24421163	0.544	0.059631128	0.03030898481074236	0.28433923892289886	0.35317108	0.6447214	1.0	0.19142969034547425
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	HLA-DRB1	CD4	1.0866978	0.0	0.46629843	0.48349324416575085	2.2513291719305357	0.9711532	0.835379	0.002144968035420114	0.36368864423944364
raw_all__GSM5837209_AB6696.txt.gz	B_cell	T_cell	CD48	CD2	0.84856015	0.481	0.6742614	0.03267760933230125	0.44047180423966115	0.3416854	0.8591969	0.825040826755193	0.36368864423944364
raw_all__GSM5837209_AB6696.txt.gz	B_cell	B_cell	MIF	CD44_CD74	0.2786563	0.998	0.07599334	-0.1967478386290305	-0.6315772239225359	0.098643355	0.67197907	1.0	0.3745376905676685
